transaction_id,matched_address_id,confidence_score,match_type,original_address,normalized_address,matched_address
none-withers-street-unit-2a-brooklyn-ny-11211,F12BC79077022B8F2673B7B14B8C7676820BCC91A06A80061FE94DB488FBE219ED44E778817B2A6203D02C6B48419700,0.7740740740740742,api_validated,Withers Street Unit 2A,WITHERS ST 2A,33 WITHERS ST
none-north-7th-street-unit-phb-brooklyn-ny-11211,,0.0,no_match,North 7th Street Unit PHB,N 7TH ST PHB,
none-465-humboldt-street-none-williamsburg-ny-11211,70FBEDE595D52798C10446D6453724BF13B0B58193E142BA8399C14703FC0DF2D41EA42C26CF12E3EDA88282AE458F42,1.0,exact,465 Humboldt Street,465 HUMBOLDT ST,465 HUMBOLDT ST
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211,7D9249591F7FCEC7BE25B465E2CE0AB14F40A6F29E29C9A250A0AA14DEE5F18FA13131DB03A9722C3895934AC05390CD,0.9333333333333332,metaphone,30 Bushwick Avenue Unit 1A,30 BUSHWICK AVE 1A,36 BUSHWICK AVE
none-251-253-north-8th-street-none-brooklyn-ny-11211,48B2754A91E4ACD9E3B21B1A9BB0DECC086E4153DF326DA37D53A681ACF26471962EE7BE22BF11F2BDE9B93B52082878,0.8,metaphone,251-253 North 8th Street,251-253 N 8TH ST,252 4TH ST
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211,7D9249591F7FCEC7BE25B465E2CE0AB14F40A6F29E29C9A250A0AA14DEE5F18FA13131DB03A9722C3895934AC05390CD,0.9333333333333332,metaphone,30 Bushwick Avenue Unit 4D,30 BUSHWICK AVE 4D,36 BUSHWICK AVE
none-242-south-1st-street-unit-4e-brooklyn-ny-11211,80ED59912C6C7E221AEBBAFBC0D3D73EED5A828EBD76904CB1CBA93145550B750B97F88B43885479F9D43F5061970DC8,0.9,metaphone,242 South 1st Street Unit 4E,242 S 1ST ST 4E,228 1ST ST
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue Unit 4R,MANHATTAN AVE 4R,
none-277-south-2nd-street-none-brooklyn-ny-11211,58D5694CF51CBEC8C7731967CDCF02F66B02165ABD7372E14AE301E23C94AC748BD4AB8B29382033B8F5AB321E1B2706,0.9,metaphone,277 South 2nd Street,277 S 2ND ST,278 2ND ST
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211,9EAC9F05D839B60AF80A602E3BBC680A668937305C2D85F536E99204C2C58986A2464E9CCCE10BC332328E4D006C75D8,0.9,metaphone,764 Metropolitan Avenue Unit 2B,764 METROPOLITAN AVE 2B,542 METROPOLITAN AVE
none-13-conselyea-street-none-brooklyn-ny-11211,05ABF4C9D9959DCA496EC5F6D5F9895B671A56FE24899754C745580C96A1AC7A7A8D06803B3C4BEAEB4A47D59518C074,0.967741935483871,metaphone,13 Conselyea Street,13 CONSELYEA ST,135 CONSELYEA ST
none-withers-street-unit-2-brooklyn-ny-11211,F12BC79077022B8F2673B7B14B8C7676820BCC91A06A80061FE94DB488FBE219ED44E778817B2A6203D02C6B48419700,0.7740740740740742,api_validated,Withers Street Unit 2,WITHERS ST 2,33 WITHERS ST
none-323-south-5th-street-unit-2-brooklyn-ny-11211,D946127D2299A85EEA0EFBDCB0A344F4902C2E19870C5B43DE1454519D0D87E5BDDB5A86A4CCD9B69B063DF6BBB3C032,0.9,metaphone,323 South 5th Street Unit 2,323 S 5TH ST 2,392 5TH ST
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211,FF0FBD984A5978B0694542CA451CDF734EBA186F329D3500370EE0D443B728B47023747DF9DB1959B9CACDB1D30C4776,0.8,metaphone,174 North 6th Street,174 N 6TH ST,134 9TH ST
none-skillman-avenue-unit-4f-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 4F,SKILLMAN AVE 4F,
none-bushwick-avenue-unit-8b-brooklyn-ny-11211,17F4E7157F49D7988DA13E0A19A2511063FE2C8C710178FFEDB913EFADBEC7281280D04952D81E7EEC603A3EB39B4560,0.76,api_validated,Bushwick Avenue Unit 8B,BUSHWICK AVE 8B,9 BUSHWICK AVE
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,0C34165C44BA4A5F9ECA2E844D4F038D3946263F7DECCA0C15643C123C5C94CA4CC408BFAEEF3AD9386A0876EF9461FC,0.9411764705882352,metaphone,364 Manhattan Avenue Unit 4G,364 MANHATTAN AVE 4G,384 MANHATTAN AVE
none-323-south-5th-street-unit-1-brooklyn-ny-11211,D946127D2299A85EEA0EFBDCB0A344F4902C2E19870C5B43DE1454519D0D87E5BDDB5A86A4CCD9B69B063DF6BBB3C032,0.9,metaphone,323 South 5th Street Unit 1,323 S 5TH ST 1,392 5TH ST
none-679-lorimer-street-none-brooklyn-ny-11211,FBCA02A114279D1FEC842A66C6CD4BC152697682B4727CCEB5E5C3631035F28E744F3954EE1E60D4009B7A5799A7FBAF,1.0,exact,679 Lorimer Street,679 LORIMER ST,679 LORIMER ST
none-skillman-avenue-unit-3-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 3,SKILLMAN AVE 3,
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211,03FCCAE39E0F8771A0A3DFBCF87F5375E0228F73B9FF3DA456E126A5E84CFC3F645F41A418AAEC676A3E4B3A265B3E2D,0.76,api_validated,Metropolitan Avenue Unit 5H,METROPOLITAN AVE 5H,850 METROPOLITAN AVE
none-211-jackson-street-unit-garden-brooklyn-ny-11211,855ABB96C75A8EDA0C8C53F869EE09739C6793586994BDC8ADC9BE43DBA10D666E0D437130A7C3A3B904A86969C624F8,0.9285714285714286,metaphone,211 Jackson Street Unit GARDEN,211 JACKSON ST GARDEN,210 JACKSON ST
