transaction_id,original_address,normalized_address,house,street,strtype,apttype,aptnbr,city,state,zip
none-withers-street-unit-2a-brooklyn-ny-11211,Withers Street Unit 2A,WITHERS ST 2A,,Withers,Street,Unit,2A,,,
none-north-7th-street-unit-phb-brooklyn-ny-11211,North 7th Street Unit PHB,N 7TH ST PHB,,7th,Street,Unit,PHB,,,
none-465-humboldt-street-none-williamsburg-ny-11211,465 Humboldt Street,465 HUMBOLDT ST,465,Humboldt,Street,,,,,
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211,30 Bushwick Avenue Unit 1A,30 BUSHWICK AVE 1A,30,Bushwick,Avenue,Unit,1A,,,
none-251-253-north-8th-street-none-brooklyn-ny-11211,251-253 North 8th Street,251-253 N 8TH ST,251-253,8th,Street,,,,,
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211,30 Bushwick Avenue Unit 4D,30 BUSHWICK AVE 4D,30,Bushwick,Avenue,Unit,4D,,,
none-242-south-1st-street-unit-4e-brooklyn-ny-11211,242 South 1st Street Unit 4E,242 S 1ST ST 4E,242,1st,Street,Unit,4E,,,
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,Manhattan Avenue Unit 4R,MANHATTAN AVE 4R,,Manhattan,Avenue,Unit,4R,,,
none-277-south-2nd-street-none-brooklyn-ny-11211,277 South 2nd Street,277 S 2ND ST,277,2nd,Street,,,,,
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211,764 Metropolitan Avenue Unit 2B,764 METROPOLITAN AVE 2B,764,Metropolitan,Avenue,Unit,2B,,,
none-13-conselyea-street-none-brooklyn-ny-11211,13 Conselyea Street,13 CONSELYEA ST,13,Conselyea,Street,,,,,
none-withers-street-unit-2-brooklyn-ny-11211,Withers Street Unit 2,WITHERS ST 2,,Withers,Street,Unit,2,,,
none-323-south-5th-street-unit-2-brooklyn-ny-11211,323 South 5th Street Unit 2,323 S 5TH ST 2,323,5th,Street,Unit,2,,,
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211,174 North 6th Street,174 N 6TH ST,174,6th,Street,,,,,
none-skillman-avenue-unit-4f-brooklyn-ny-11211,Skillman Avenue Unit 4F,SKILLMAN AVE 4F,,Skillman,Avenue,Unit,4F,,,
none-bushwick-avenue-unit-8b-brooklyn-ny-11211,Bushwick Avenue Unit 8B,BUSHWICK AVE 8B,,Bushwick,Avenue,Unit,8B,,,
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,364 Manhattan Avenue Unit 4G,364 MANHATTAN AVE 4G,364,Manhattan,Avenue,Unit,4G,,,
none-323-south-5th-street-unit-1-brooklyn-ny-11211,323 South 5th Street Unit 1,323 S 5TH ST 1,323,5th,Street,Unit,1,,,
none-679-lorimer-street-none-brooklyn-ny-11211,679 Lorimer Street,679 LORIMER ST,679,Lorimer,Street,,,,,
none-skillman-avenue-unit-3-brooklyn-ny-11211,Skillman Avenue Unit 3,SKILLMAN AVE 3,,Skillman,Avenue,Unit,3,,,
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211,Metropolitan Avenue Unit 5H,METROPOLITAN AVE 5H,,Metropolitan,Avenue,Unit,5H,,,
none-211-jackson-street-unit-garden-brooklyn-ny-11211,211 Jackson Street Unit GARDEN,211 JACKSON ST GARDEN,211,Jackson,Street,,,Unit GARDEN,,
none-30-bushwick-avenue-unit-7a-brooklyn-ny-11211,30 Bushwick Avenue Unit 7A,30 BUSHWICK AVE 7A,30,Bushwick,Avenue,Unit,7A,,,
none-76-roebling-street-unit-4b-brooklyn-ny-11211,76 Roebling Street Unit 4B,76 ROEBLING ST 4B,76,Roebling,Street,Unit,4B,,,
none-south-5th-street-unit-3-brooklyn-ny-11211,South 5th Street Unit 3,S 5TH ST 3,,5th,Street,Unit,3,,,
none-30-bayard-street-unit-1a-brooklyn-ny-11211,30 Bayard Street Unit 1A,30 BAYARD ST 1A,30,Bayard,Street,Unit,1A,,,
none-north-11th-street-unit-1l-brooklyn-ny-11211,North 11th Street Unit 1L,N 11TH ST 1L,,11th,Street,Unit,1L,,,
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,Manhattan Avenue Unit 2R,MANHATTAN AVE 2R,,Manhattan,Avenue,Unit,2R,,,
none-165-north-10th-street-unit-3a-brooklyn-ny-11211,165 North 10th Street Unit 3A,165 N 10TH ST 3A,165,10th,Street,Unit,3A,,,
none-171-north-1st-street-unit-3a-brooklyn-ny-11211,171 North 1st Street Unit 3A,171 N 1ST ST 3A,171,1st,Street,Unit,3A,,,
none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,139 Skillman Avenue Unit 9B,139 SKILLMAN AVE 9B,139,Skillman,Avenue,Unit,9B,,,
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,Manhattan Avenue Unit 3R,MANHATTAN AVE 3R,,Manhattan,Avenue,Unit,3R,,,
none-171-north-1st-street-unit-3c-brooklyn-ny-11211,171 North 1st Street Unit 3C,171 N 1ST ST 3C,171,1st,Street,Unit,3C,,,
none-549-metropolitan-avenue-unit-a-williamsburg-ny-11211,549 Metropolitan Avenue Unit A,549 METROPOLITAN AVE A,549,Metropolitan,Avenue,Unit,A,,,
none-76-richardson-street-unit-7-williamsburg-ny-11211,76 Richardson Street Unit 7,76 RICHARDSON ST 7,76,Richardson,Street,Unit,7,,,
none-conselyea-street-unit-2-brooklyn-ny-11211,Conselyea Street Unit 2,CONSELYEA ST 2,,Conselyea,Street,Unit,2,,,
