transaction_id,matched_address_id,confidence_score,match_type,original_address,normalized_address,matched_address
none-north-7th-street-unit-phb-brooklyn-ny-11211,,0.0,no_match,North 7th Street Unit PHB,N 7TH ST PHB,
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue Unit 4R,MANHATTAN AVE 4R,
none-skillman-avenue-unit-4f-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 4F,SKILLMAN AVE 4F,
none-skillman-avenue-unit-3-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 3,SKILLMAN AVE 3,
none-south-5th-street-unit-3-brooklyn-ny-11211,,0.0,no_match,South 5th Street Unit 3,S 5TH ST 3,
none-north-11th-street-unit-1l-brooklyn-ny-11211,,0.0,no_match,North 11th Street Unit 1L,N 11TH ST 1L,
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue Unit 2R,MANHATTAN AVE 2R,
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue Unit 3R,MANHATTAN AVE 3R,
none-conselyea-street-unit-2-brooklyn-ny-11211,,0.0,no_match,Conselyea Street Unit 2,CONSELYEA ST 2,
none-manhattan-avenue-unit-2-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue Unit 2,MANHATTAN AVE 2,
none-hope-street-unit-pha-brooklyn-ny-11211,,0.0,no_match,Hope Street Unit PHA,HOPE ST PHA,
none-bayard-street-unit-2g-brooklyn-ny-11211,,0.0,no_match,Bayard Street Unit 2G,BAYARD ST 2G,
none-devoe-street-unit-na-brooklyn-ny-11211,,0.0,no_match,Devoe Street Unit NA,DEVOE ST NA,
none-north-6th-street-unit-1-brooklyn-ny-11211,,0.0,no_match,North 6th Street Unit 1,N 6TH ST 1,
none-jackson-street-unit-1b-brooklyn-ny-11211,,0.0,no_match,Jackson Street Unit 1B,JACKSON ST 1B,
none-union-avenue-unit-4d-5d-brooklyn-ny-11211,,0.0,no_match,Union Avenue Unit 4D/5D,UNION AVE 4D/5D,
none-south-4th-street-unit-4a-brooklyn-ny-11211,,0.0,no_match,South 4th Street Unit 4A,S 4TH ST 4A,
none-north-10th-street-unit-3a-brooklyn-ny-11211,,0.0,no_match,North 10th Street Unit 3A,N 10TH ST 3A,
none-union-avenue-none-brooklyn-ny-11211,,0.0,no_match,Union Avenue,UNION AVE,
none-devoe-street-none-brooklyn-ny-11211,,0.0,no_match,Devoe Street,DEVOE ST,
none-bayard-street-unit-2d-brooklyn-ny-11211,,0.0,no_match,Bayard Street Unit 2D,BAYARD ST 2D,
none-jackson-street-unit-2-brooklyn-ny-11211,,0.0,no_match,Jackson Street Unit 2,JACKSON ST 2,
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue Unit 4F,MANHATTAN AVE 4F,
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue Unit 3F,MANHATTAN AVE 3F,
none-manhattan-avenue-none-brooklyn-ny-11211,,0.0,no_match,Manhattan Avenue,MANHATTAN AVE,
none-maspeth-avenue-unit-2d-brooklyn-ny-11211,,0.0,no_match,Maspeth Avenue Unit 2D,MASPETH AVE 2D,
none-bayard-street-unit-3g-brooklyn-ny-11211,,0.0,no_match,Bayard Street Unit 3G,BAYARD ST 3G,
none-grand-street-none-brooklyn-ny-11211,,0.0,no_match,Grand Street,GRAND ST,
none-division-avenue-unit-16-brooklyn-ny-11211,,0.0,no_match,Division Avenue Unit 16,DIVISION AVE 16,
none-skillman-avenue-unit-1a-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 1A,SKILLMAN AVE 1A,
none-north-11th-street-unit-4w-brooklyn-ny-11211,,0.0,no_match,North 11th Street Unit 4W,N 11TH ST 4W,
none-havemeyer-street-unit-6a-brooklyn-ny-11211,,0.0,no_match,Havemeyer Street Unit 6A,HAVEMEYER ST 6A,
none-north-6th-street-unit-3-brooklyn-ny-11211,,0.0,no_match,North 6th Street Unit 3,N 6TH ST 3,
none-conselyea-street-unit-1-brooklyn-ny-11211,,0.0,no_match,Conselyea Street Unit 1,CONSELYEA ST 1,
none-south-5th-street-unit-c1-brooklyn-ny-11211,,0.0,no_match,South 5th Street Unit C1,S 5TH ST C1,
none-union-avenue-unit-3c-brooklyn-ny-11211,,0.0,no_match,Union Avenue Unit 3C,UNION AVE 3C,
none-south-8th-street-unit-1a-brooklyn-ny-11211,,0.0,no_match,South 8th Street Unit 1A,S 8TH ST 1A,
none-north-6th-street-unit-2r-brooklyn-ny-11211,,0.0,no_match,North 6th Street Unit 2R,N 6TH ST 2R,
none-north-8th-street-none-brooklyn-ny-11211,,0.0,no_match,North 8th Street,N 8TH ST,
none-jackson-street-unit-5-brooklyn-ny-11211,,0.0,no_match,Jackson Street Unit 5,JACKSON ST 5,
none-devoe-street-unit-2r-brooklyn-ny-11211,,0.0,no_match,Devoe Street Unit 2R,DEVOE ST 2R,
none-havemeyer-street-none-brooklyn-ny-11211-0,,0.0,no_match,Havemeyer Street,HAVEMEYER ST,
none-havemeyer-street-none-brooklyn-ny-11211,,0.0,no_match,Havemeyer Street,HAVEMEYER ST,
none-jackson-street-unit-3b-brooklyn-ny-11211,,0.0,no_match,Jackson Street Unit 3B,JACKSON ST 3B,
none-north-8th-street-unit-ph-brooklyn-ny-11211,,0.0,no_match,North 8th Street Unit PH,N 8TH ST PH,
none-union-avenue-unit-5c-brooklyn-ny-11211,,0.0,no_match,Union Avenue Unit 5C,UNION AVE 5C,
none-bedford-avenue-unit-8-brooklyn-ny-11211,,0.0,no_match,Bedford Avenue Unit 8,BEDFORD AVE 8,
none-jackson-street-unit-3-brooklyn-ny-11211,,0.0,no_match,Jackson Street Unit 3,JACKSON ST 3,
none-bayard-street-unit-3b-brooklyn-ny-11211,,0.0,no_match,Bayard Street Unit 3B,BAYARD ST 3B,
none-jackson-street-unit-4-brooklyn-ny-11211,,0.0,no_match,Jackson Street Unit 4,JACKSON ST 4,
none-skillman-avenue-unit-2-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 2,SKILLMAN AVE 2,
none-north-11th-street-unit-5r-brooklyn-ny-11211,,0.0,no_match,North 11th Street Unit 5R,N 11TH ST 5R,
none-south-5th-street-unit-2-brooklyn-ny-11211,,0.0,no_match,South 5th Street Unit 2,S 5TH ST 2,
